Roll,Name,Effect,Side-effect
1,Aether,You gain a flying speed of 20 feet for 1 hour.,You have disadvantage on Strength and Dexterity ability checks for 1 hour.
2,Alluring,"Your skin and voice become malleable, allowing you to slightly enhance your appearance and presence. You have advantage on Charisma ability checks.",You have disadvantage on initiative rolls.
3,Celerity,"Your Dexterity score increases by 3, as does your Dexterity maximum.",You have disadvantage on Wisdom saving throws.
4,Conversant,You gain advantage on Intelligence ability checks.,You have disadvantage on Wisdom ability checks.
5,Cruelty,"When you use the Attack action, you can make an additional weapon attack as a bonus action.","You have disadvantage on Intelligence, Wisdom, and Charisma saving throws."
6,Deftness,You gain advantage on Dexterity ability checks.,You have disadvantage on Wisdom ability checks.
7,Embers,You gain resistance to fire damage.,You gain vulnerability to cold damage.
8,Gelid,You gain resistance to cold damage.,You gain vulnerability to fire damage.
9,Impermeable,You gain resistance to piercing damage.,You gain vulnerability to slashing damage.
10,Mobility,You gain immunity to the grappled and restrained conditions.,You have disadvantage on Strength ability checks.
11,Nighteye,"You gain darkvision for up to 60 feet. If you already have darkvision, this increases its range by 60 additional feat.",You gain sunlight sensitivity.
12,Percipient,You gain advantage on Wisdom ability checks.,You have disadvantage on Charisma ability checks.
13,Potency,"Your Strength score increases by 3, as does your Strength maximum.",You have disadvantage on Dexterity saving throws.
14,Precision,Your weapon attacks score a critical hit on a roll of 19-20.,You have disadvantage on Strength saving throws.
15,Rapidity,Your speed increases by 10 feet.,You have disadvantage on Intelligence ability checks.
16,Reconstruction,"For 1 hour, at the start of each of your turns, you regain hit points equal to your proficiency bonus if you have at least 1 hit point, but no more than half of your hit points.",Your speed decreases by 10 ft.
17,Sagacity,"Your Intelligence score increases by 3, as does your Intelligence maximum.",You have disadvantage on Charisma saving throws.
18,Shielded,You gain resistance to slashing damage.,You gain vulnerability to bludgeoning damage.
19,Unbreakable,You gain resistance to bludgeoning damage.,You gain vulnerability to piercing damage.
20,Vermillion,You gain the abillity to envelop your attacks with natural poison. Add 1d6 poison damage to all weapon attacks.,You have disadvantage on death saving throws.
